DATE,COUNTRY,STATE,CITY,SUBREGION,REGION,PERPETRATOR,INJURED,DEAD,DESCRIPTION,COORDINATES,CATEGORY,Year
3/15/2017,Syria,Damascus Governorate,Damascus,Western Asia,Asia,Islamic State,30,40,"A suicide bomber detonated his vest outside the Palace of Justice, killing and injuring dozens. A second suicide blast took place at a restaurant in the Rabweh area of Damascus, killing and injuring an unknown number of people.In the 2 attacks, 40 people were killed and more than 30 were injured. ","33.5130695,36.3095814",Explosion,2017
3/11/2017,Syria,Damascus Governorate,Damascus,Western Asia,Asia,Tahrir Al Sham,120,74,"Twin bombings in the Old City of Damascus killed at least 74 and injured more than 100 others, most of them Iraqi Shia pilgrims. ","33.5130695,36.3095814",Explosion,2017
3/8/2017,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State,63,100,"A team of gunmen staged a complex assault on a military hospital in the Wazir Akbar Khan section of Kabul. At least 43+ people were initially reported killed, while 63 others were injured. Local reports later suggested the death toll was over 100. ","34.5260109,69.1776838",Assault,2017
3/7/2017,India,Madhya Pradesh,,Southern Asia,Asia,Islamic State,10,0,"In first ISIS attack on India, terrorists known to authorities planted low intensity pipe bombs which exploded on a train at the Jabri railway station injuring 10 passengers. ","23.8143419,77.5340719",Explosion,2017
2/23/2017,United States,Kansas,Kansas City,Northern America,Americas,,2,1,"A Kansas man shot 3 people after yelling ""get out of my Country."" The gunman said he believed the men he shot were Middle Eastern, but the victims were Indian engineers.An Indian man was killed and another was injured. Ian Grillot, an American who tried to save them, was also shot. ","39.100105,-94.5781416",Assault,2017
2/21/2017,Pakistan,Khyber Pakhtunkhwa,Charsadda,Southern Asia,Asia,Jamaat-ul-Ahrar,21,7,"At least 7 people, including a lawyer were killed and 21 others injured as a sessions court in Charsadda was hit by multiple suicide bombers. ","34.1461506,71.7337719",Explosion,2017
2/16/2017,Pakistan,Sindh,Sehwan,Southern Asia,Asia,Islamic State,300,91,A suicide bombing at a popular shrine in southern Pakistan killed at least 91 people and wounded over 300. The Islamic State claimed responsibility. ,"26.4255959,67.8625638",Explosion,2017
2/15/2017,Pakistan,Khyber Pakhtunkhwa,Peshawar,Southern Asia,Asia,Taliban,12,2,A suicide bomber targeted a vehicle carrying local judges and government officials killing the driver and a civilian and wounding 5 passengers. ,"34.0123846,71.5787458",Explosion,2017
2/13/2017,Pakistan,Punjab,Lahore,Southern Asia,Asia,Jamaat-ul-Ahrar,90,18,"A powerful bomb blast ripped through a protest in the Pakistani city of Lahore, killing at least 14 people and wounding 90. Jamaat ul Ahrar claimed responsibility. ","31.5656822,74.3141829",Explosion,2017
2/7/2017,Afghanistan,Kabul,,Southern Asia,Asia,Islamic State,41,22,At least 22 people were killed and 41 wounded in a suicide blast at Afghanistan's Supreme Court in Kabul. ,"34.5260109,69.1776838",Explosion,2017
1/29/2017,Canada,Quebec,,Northern America,Americas,Alexandre Bissonnette,17,6,"At least 6 people were killed and 17 others injured when a gunman opened fire at a mosque. Prime Minister Justin Trudeau and Premier Philippe Couillard called the shooting a terrorist attack, but the suspect was not charged with terrorism. ","52.4760892,-71.8258668",Assault,2017
1/25/2017,Somalia,Banaadir,Mogadishu,Eastern Africa,Africa,Al Shabaab,43,28,"At least 28 people, including 4 members of the security forces and 24 civilians, died in a coordinated attack against the Dayah Hotel in central Mogadishu. More than 40 others were injured, and 4 attackers were killed. ","2.0349312,45.3419183",,2017
1/21/2017,Pakistan,,,Southern Asia,Asia,Lashkar-e-Jhangvi,87,25,"A bomb that was placed in a vegetable crate exploded at a vegetable market in Parachinar, a city in Pakistan's Kurram Agency tribal area. ","30.3308401,71.247499",Explosion,2017
1/18/2017,Mali,Gao Region,Gao,Western Africa,Africa,Al Mourabitoun,115,77,Five suicide bombers exploded near a NATO army base. At least 65 people were killed while an unknown number of people were injured. There were no reported casualties among the NATO troops. ,"16.2788129,-0.0412392",Explosion,2017
1/10/2017,Afghanistan,,,Southern Asia,Asia,Taliban,6,7,A suicide bombing on a house in Lashkargah claimed 7 civilians lives and another 6 were injured. ,"33.7680065,66.2385139",Explosion,2017
1/10/2017,Afghanistan,Kabul,,Southern Asia,Asia,Taliban,70,38,"A car bomb exploded in the center of the city of Kabul. At least 38 people were killed and at least 70 others were injured. The Taliban claimed responsibility for the attacks, saying that vehicles carrying members of the National Directorate of Security were targeted. ","34.5260109,69.1776838",Explosion,2017
